Algorithm_Type,Algorithm,Variant,FIPS_Standard,PK_Bytes,SK_Bytes,CT_or_Sig_Bytes,SS_Bytes,Operation,ISA,Board,Iterations,Avg_Cycles,Min_Cycles,Max_Cycles,StdDev_Cycles,Energy_uJ,StdDev_Energy_uJ,Jitter_Cycles,CoeffVar_pct,p50_Cycles,p95_Cycles,p99_Cycles,MAD_Cycles,Entropy_Success_pct,Avg_Latency_Entropy_ms,RNG_Bytes_Consumed,RNG_Call_Count,RNG_Failures,RNG_Shannon_Entropy,RNG_Min_Entropy_H_inf,RNG_Bytes_Per_Call,Cycles_At_128KB_RAM_Cap,Failure_128KB_pct,Cycles_At_64KB_RAM_Cap,Failure_64KB_pct,Cycles_Throttled_50pct,Latency_Throttled_50pct_ms,Jitter_Adder_Throttled_Cycles,Throttle_Slowdown_pct,Cycles_Cache_TLB_Stress,Cycles_Memory_BW_Stress,Cycles_Branch_Stress,Tail_Amplification_Factor,Throttle_Profile_Used,p50_Stress_Cycles,p99_Stress_Cycles,Jitter_Stress_Cycles,Min_Stress_Cycles,Max_Stress_Cycles,Stack_Used_Bytes,Stack_Peak_Bytes,Stack_Available_Bytes,TEE_Mode,TEE_Provider,TEE_Overhead_Cycles,TEE_Overhead_pct,TEE_World_Switch_Cycles,TEE_Context_Save_Cycles,TEE_Context_Restore_Cycles,TEE_RNG_Overhead_Cycles,TEE_IPC_Overhead_Cycles,TEE_RNG_Calls,TEE_RNG_Bytes,Source_File,Extraction_Timestamp
DSA,sphincs-sha2-128f-simple,clean,FIPS205,32,64,17088,0,keypair,x86_64,qemu_x86_64,1000,3039463,2336279,12311171,829592,91183.89,24887.76,1356308,27.294,2875481,3966246,5949266,247809,100.0,42.4,48624,1013,0,7.9524,7.0,48.0,3112842,0.0,3375255,0.0,3039463,60.789,0,7.1,3255348,0,0,0.7,Cache_TLB_Stress,3196781,4628897,2145321,2594362,4739683,8160,13260,52276,0,none,0,0.0,0,0,0,0,0,0,0,benchmark_output_sphincs-sha2-192f-simple_qemu_x86_64.txt,2025-12-28T20:17:05.656680
DSA,sphincs-sha2-128f-simple,clean,FIPS205,32,64,17088,0,sign,x86_64,qemu_x86_64,1000,68527189,53459033,107362666,6838039,2055815.67,205141.17,1087596,9.979,68916928,78967392,90631640,3626343,100.0,610.0,16528,1019,0,7.9534,7.142,16.22,57915887,0.0,57574975,0.0,68527189,1370.544,0,0.0,57448427,0,0,0.88,Cache_TLB_Stress,55710949,64472932,10269829,54376567,64646396,0,13660,51876,0,none,0,0.0,0,0,0,0,0,0,0,benchmark_output_sphincs-sha2-192f-simple_qemu_x86_64.txt,2025-12-28T20:17:05.656680
DSA,sphincs-sha2-128f-simple,clean,FIPS205,32,64,17088,0,verify,x86_64,qemu_x86_64,1000,3814238,3043563,14488817,999654,114427.14,29989.62,573754,26.208,3489538,5096239,7093789,213951,100.0,730.4,448,14,0,7.515,5.8074,32.0,69717654,0.0,70274408,0.0,3814238,76.285,0,0.0,3710968,0,0,0.552,Cache_TLB_Stress,3675435,4125802,653942,3502433,4156375,0,13660,51876,0,none,0,0.0,0,0,0,0,0,0,0,benchmark_output_sphincs-sha2-192f-simple_qemu_x86_64.txt,2025-12-28T20:17:05.656680
